Name,Latitude,Longitude,ZCTA5CE10
Unity Center for Urban Technologies,40.74651,-73.98107,10016
Urban Assembly Gateway School for Technology,40.763655,-73.990318,10019
Talent Unlimited High School,40.765638,-73.959777,10065
Murry Bergtraum High School for Business Careers,40.711441,-74.000851,10038
P.S. 527 - East Side School for Social Action,40.780652,-73.947856,10128
Jacqueline Kennedy Onassis High School,40.757626,-73.98346,10036
Repertory Company High School for Theatre Arts,40.756089,-73.984381,10036
Union Square Academy for Health Sciences,40.735361,-73.987064,10003
Harvest Collegiate High School,40.736416,-73.995731,10011
Manhattan Bridges High School,40.765474,-73.9927,10019
New Design High School,40.717329,-73.989329,10002
Independence High School,40.767848,-73.98861,10019
High School for Dual Language and Asian Studies,40.717329,-73.989329,10002
Academy for Software Engineering,40.735361,-73.987064,10003
Liberty High School Academy for Newcomers,40.74182,-74.000238,10011
Urban Assembly New York Harbor School,40.689493,-74.018941,10004
High School M560 - City As School,40.729052,-74.006155,10014
Urban Academy Laboratory High School,40.765638,-73.959777,10065
Satellite Academy High School,40.747425,-73.990562,10001
Manhattan Comprehensive Night and Day High School,40.732699,-73.984333,10003
Richard R. Green High School of Teaching,40.705688,-74.013303,10004
Harvey Milk High School,40.729661,-73.992343,10003
The High School of Fashion Industries,40.745677,-73.996354,10011
Humanities Preparatory Academy,40.743407,-74.00254,10011
Chelsea Career and Technical Education High School,40.72463,-74.005058,10013
Art and Design High School,40.759248,-73.967204,10022
The High School for Climate Justice,40.783286,-73.945933,10128
Lower Manhattan Community Middle School,40.705688,-74.013303,10004
Office of Academic Policy,40.747398,-73.992832,10001
P.S. 009 Sarah Anderson,40.785234,-73.974256,10024
J.H.S. 054 Booker T. Washington,40.8007,-73.96327,10025
P.S. 075 Emily Dickinson,40.795109,-73.973996,10025
P.S. 076 A. Philip Randolph,40.806534,-73.951451,10027
P.S. 084 Lillian Weber,40.789479,-73.968419,10025
P.S. 087 William Sherman,40.78171,-73.97802,10024
"P.S. 145, The Bloomingdale School",40.799098,-73.965611,10025
P.S. 149 Sojourner Truth,40.802649,-73.948088,10026
P.S. 163 Alfred E. Smith,40.795163,-73.96847,10025
P.S. 165 Robert E. Simon,40.802653,-73.965949,10025
P.S. 166 The Richard Rodgers School of The Arts an,40.788925,-73.972557,10024
P.S. 180 Hugo Newman,40.80757,-73.955861,10027
The Locke School of Arts and Engineering,40.798461,-73.950146,10026
The Riverside School for Makers and Artists,40.7722,-73.990902,10069
P.S. 199 Jessie Isador Straus,40.777603,-73.984423,10023
STEM Institute of Manhattan,40.801573,-73.955583,10026
P.S. 242 - The Young Diplomats Magnet Academy,40.806055,-73.948385,10027
M.S. 243 Center School,40.785234,-73.974256,10024
M.S. M245 The Computer School,40.780536,-73.977602,10023
M.S. M247 Dual Language Middle School,40.780536,-73.977602,10023
M.S. 250 West Side Collaborative Middle School,40.795109,-73.973996,10025
Lafayette Academy,40.791395,-73.971011,10025
Community Action School - MS 258,40.791395,-73.971011,10025
West End Secondary School,40.772608,-73.988338,10023
"Urban Assembly School for Media Studies, The",40.774891,-73.985608,10023
P.S. 333 Manhattan School for Children,40.791395,-73.971011,10025
The Anderson School,40.780536,-73.977602,10023
The Urban Assembly School for Green Careers,40.786134,-73.974483,10024
The Global Learning Collaborative,40.786134,-73.974483,10024
Innovation Diploma Plus,40.786134,-73.974483,10024
Wadleigh Secondary School for the Performing & Vis,40.80261,-73.954152,10026
Frank McCourt High School,40.786134,-73.974483,10024
West Prep Academy,40.80209,-73.96561,10025
P.S. 452,40.771603,-73.987515,10023
Beacon High School,40.760858,-73.996262,10036
Fiorello H. LaGuardia High School of Music & Art a,40.774202,-73.985976,10023
"High School for Law, Advocacy and Community Justic",40.774891,-73.985608,10023
High School of Arts and Technology,40.774891,-73.985608,10023
Manhattan / Hunter Science High School,40.774891,-73.985608,10023
Young Women's Leadership School,40.797136,-73.966779,10025
Special Music School,40.775256,-73.982976,10023
Frederick Douglass Academy II Secondary School,40.80261,-73.954152,10026
Mott Hall II,40.802653,-73.965949,10025
P.S. 007 Samuel Stern,40.800616,-73.939374,10035
Tag Young Scholars,40.792556,-73.942285,10029
River East Elementary,40.799265,-73.93374,10035
P.S. 38 Roberto Clemente,40.788668,-73.944762,10029
James Weldon Johnson,40.797205,-73.941598,10029
The Lexington Academy,40.791444,-73.94745,10029
P.S. 083 Luis Munoz Rivera,40.793363,-73.941955,10029
P.S. 096 Joseph Lanzetta,40.79969,-73.937179,10035
P.S. 102 Jacques Cartier,40.795,-73.938418,10029
P.S. 108 Assemblyman Angelo Del Toro Educational C,40.795032,-73.947855,10029
P.S. 112 Jose Celso Barbosa,40.796889,-73.930528,10035
P.S. 146 Ann M. Short,40.789535,-73.938727,10029
P.S. 155 William Paca,40.797507,-73.935895,10035
P.S. 171 Patrick Henry,40.792302,-73.951425,10029
The Bilingual Bicultural School,40.793363,-73.941955,10029
P.S. 206 Jose Celso Barbosa,40.796889,-73.930528,10035
M.S. 224 Manhattan East School for Arts & Academic,40.785107,-73.942154,10029
The Judith S. Kaye School,40.784112,-73.945647,10128
Esperanza Preparatory Academy,40.792556,-73.942285,10029
Mosaic Preparatory Academy,40.796098,-73.944546,10029
Renaissance School of the Arts,40.797507,-73.935895,10035
Manhattan Center for Science and Mathematics,40.794184,-73.932868,10029
Park East High School,40.790191,-73.944092,10029
Central Park East I,40.793649,-73.948488,10029
Edward A. Reynolds West Side High School,40.792932,-73.947171,10029
Central Park East High School,40.793649,-73.948488,10029
"Heritage School, The",40.791966,-73.946879,10029
Isaac Newton Middle School for Math & Science,40.794184,-73.932868,10029
Central Park East II,40.785559,-73.940919,10029
P.S. 030 Hernandez/Hughes,40.805653,-73.935461,10035
P.S. 036 Margaret Douglas,40.810705,-73.957409,10025
P.S. 046 Arthur Tappan,40.8304,-73.9363,10039
P.S. 092 Mary McLeod Bethune,40.814917,-73.945838,10030
P.S. 123 Mahalia Jackson,40.820216,-73.944551,10030
P.S. 125 Ralph Bunche,40.810793,-73.955722,10027
P.S. 129 John H. Finley,40.814914,-73.95202,10027
P.S. 133 Fred R Moore,40.809665,-73.939178,10037
Eagle Academy for Young Men of Harlem,40.817228,-73.947151,10030
P.S. 154 Harriet Tubman,40.810499,-73.948902,10027
The Urban Assembly School for Global Commerce,40.807019,-73.938714,10035
P.S. 161 Pedro Albizu Campos,40.817719,-73.952476,10031
P.S. 175 Henry H Garnet,40.814388,-73.942706,10030
P.S. 194 Countee Cullen,40.821208,-73.941111,10030
P.S. 197 John B. Russwurm,40.813532,-73.938347,10037
P.S. 200- The James McCune Smith School,40.823988,-73.935746,10039
Harlem Renaissance High School,40.807692,-73.939974,10035
Urban Assembly Academy for Future Leaders,40.815747,-73.95552,10027
Mott Hall High School,40.817228,-73.947151,10030
Thurgood Marshall Academy Lower School,40.825831,-73.937833,10039
Columbia Secondary School,40.810793,-73.955722,10027
Urban Assembly School for the Performing Arts,40.815747,-73.95552,10027
School of Earth Exploration and Discovery Harlem (,40.814914,-73.95202,10027
Frederick Douglass Academy,40.823988,-73.935746,10039
New Design Middle School,40.819793,-73.956814,10031
Teachers College Community School,40.812428,-73.953317,10027
Thurgood Marshall Academy for Learning and Social,40.815237,-73.944299,10030
"High School for Mathematics, Science and Engineeri",40.820208,-73.950354,10031
P.S. 004 Duke Ellington,40.834877,-73.941594,10032
P.S. 005 Ellen Lurie,40.857633,-73.922277,10034
P.S. 008 Luis Belliard,40.839235,-73.936614,10032
P.S. 018 Park Terrace,40.860961,-73.921474,10034
P.S. 028 Wright Brothers,40.83163,-73.942023,10032
P.S. 048 P.O. Michael J. Buczek,40.853193,-73.933629,10033
Harold O. Levy School,40.865556,-73.925464,10040
P.S. 098 Shorac Kappock,40.867741,-73.917814,10034
Dos Puentes Elementary School,40.850561,-73.933964,10033
P.S. 115 Alexander Humboldt,40.846116,-73.93514,10033
P.S. 128 Audubon,40.841032,-73.938701,10032
P.S. 132 Juan Pablo Duarte,40.850561,-73.933964,10033
J.H.S. 143 Eleanor Roosevelt,40.849311,-73.930991,10033
P.S. 152 Dyckman Valley,40.859804,-73.927578,10040
P.S. 153 Adam Clayton Powell,40.826514,-73.947599,10031
P.S. 173,40.845459,-73.939785,10032
Professor Juan Bosch Public School,40.85924,-73.928301,10040
P.S./I.S. 187 Hudson Cliffs,40.856239,-73.93684,10040
P.S. 189,40.853045,-73.928048,10040
P.S. 192 Jacob H. Schiff,40.82051,-73.952023,10031
Hamilton Grange Middle School,40.82051,-73.952023,10031
P.S./I.S. 210 - Twenty-first Century Academy for C,40.830004,-73.944666,10031
Inwood Early College for Health and Information Te,40.865556,-73.925464,10040
The Mott Hall School,40.836982,-73.937263,10032
Paula Hedbavny School,40.860961,-73.921474,10034
City College Academy of the Arts,40.860951,-73.930082,10040
Amistad Dual Language School,40.866381,-73.923818,10034
Muscota,40.866381,-73.923818,10034
M.S. 319 - Maria Teresa,40.839139,-73.935815,10032
Middle School 322,40.860951,-73.930082,10040
M.S. 324 - Patria Mirabal,40.839139,-73.935815,10032
Community Math & Science Prep,40.836982,-73.937263,10032
Community Health Academy of the Heights,40.833695,-73.942074,10032
Washington Heights Expeditionary Learning School,40.849311,-73.930991,10033
Washington Heights Academy,40.865575,-73.921631,10034
The William Lynch School,40.826514,-73.947599,10031
High School for Excellence and Innovation,40.865556,-73.925464,10040
The College Academy,40.856532,-73.92606,10040
High School for Media and Communications,40.856532,-73.92606,10040
High School for Law and Public Service,40.856532,-73.92606,10040
High School for Health Careers and Sciences,40.856532,-73.92606,10040
Castle Bridge School,40.841032,-73.938701,10032
I.S. 528 Bea Fuller Rodgers School,40.850683,-73.934676,10033
A. Philip Randolph Campus High School,40.8185,-73.949929,10031
Gregorio Luperon High School for Science and Mathe,40.8381,-73.9383,10032
P.S. 001 Courtlandt School,40.819331,-73.919634,10451
P.S. 5 Port Morris,40.813896,-73.908358,10455
P.S. 018 John Peter Zenger,40.816369,-73.922697,10451
P.S. 025 Bilingual School,40.812895,-73.905751,10455
P.S./M.S. 029 Melrose School,40.821544,-73.916419,10451
P.S. 030 Wilton,40.809023,-73.917417,10454
P.S./M.S. 031 The William Lloyd Garrison,40.822574,-73.92114,10451
P.S. 043 Jonas Bronck,40.806452,-73.921593,10454
P.S. 049 Willis Avenue,40.810413,-73.92273,10454
P.S. 065 Mother Hale Academy,40.807916,-73.912557,10454
P.S. 154 Jonathan D. Hyatt,40.808194,-73.925459,10454
P.S. 157 Grove Hill,40.819419,-73.908965,10456
P.S. 161 Juan Ponce De Leon School,40.814168,-73.905233,10455
P.S. 179,40.80908,-73.919773,10454
South Bronx Preparatory: A College Board School,40.813612,-73.920851,10455
The Laboratory School of Finance and Technology: X,40.813612,-73.920851,10455
P.S./I.S. 224,40.810314,-73.918774,10454
"H.E.R.O. High (Health, Education, and Research Occ",40.810671,-73.907528,10455
P.S. 277,40.813385,-73.913872,10455
South Bronx Academy for Applied Media,40.818703,-73.905389,10456
Academy of Public Relations,40.818703,-73.905389,10456
International Community High School,40.810314,-73.918774,10454
Academy of Applied Mathematics and Technology,40.810314,-73.918774,10454
"Leaders of Excellence, Advocacy and Discovery",40.816974,-73.912039,10455
Young Leaders Elementary School,40.80908,-73.919773,10454
Jill Chaifetz Transfer High School,40.818703,-73.905389,10456
Bronx Haven High School,40.818645,-73.919949,10451
Community School for Social Justice,40.815712,-73.92996,10451
Mott Haven Village Preparatory High School,40.818041,-73.911633,10455
University Heights Secondary School,40.818041,-73.911633,10455
Hostos-Lincoln Academy of Science,40.814857,-73.912038,10455
Bronx Design and Construction Academy,40.818645,-73.919949,10451
Bronx Leadership Academy II High School,40.821828,-73.922366,10451
Learning Through Play Pre-K Center,40.812075,-73.90557,10455
Careers in Sports High School,40.821828,-73.922366,10451
The Urban Assembly Bronx Academy of Letters,40.813681,-73.925995,10451
Mott Haven Community High School,40.810671,-73.907528,10455
I.S. 584,40.814857,-73.912038,10455
Alfred E. Smith Career and Technical Education Hig,40.818645,-73.919949,10451
Bronx Legacy High School,40.821828,-73.922366,10451
South Bronx Literacy Academy,40.823014,-73.922527,10451
Health Opportunities High School,40.815712,-73.92996,10451
P.S. X014 Senator John Calandra,40.835318,-73.826277,10461
P.S. 036 Unionport,40.82948,-73.849791,10472
P.S. 048 Joseph R. Drake,40.814034,-73.886834,10474
P.S. 062 Inocensio Casanova,40.813736,-73.900161,10455
P.S. 069 Journey Prep School,40.8167,-73.86046,10473
P.S. 071 Rose E. Scala,40.845379,-73.829562,10461
P.S. 072 Dr. William Dorney,40.823237,-73.818172,10465
P.S. 75 School of Research and Discovery,40.822314,-73.888948,10459
P.S. 093 Albert G. Oliver,40.822522,-73.877274,10473
