ZCTA5CE10,mean,min,max,count
11004.0,0.14000120013321057,0.02572581897464836,0.2304812637737727,3
11101.0,0.2112215320785612,0.04449190712104666,0.37064767989289044,18
11102.0,0.08648711879926502,0.0670930773696568,0.12890718427217931,6
11103.0,0.22868797630297577,0.155563974104427,0.3018119785015245,2
11104.0,0.260049617295864,0.07073046207596188,0.3422455773898876,5
11105.0,0.3150654739672584,0.19380853804985548,0.3906094533488394,4
11106.0,0.26890474883169685,0.0734728529462714,0.37313197554923666,11
11109.0,0.18601765252386032,0.18601765252386032,0.18601765252386032,1
11354.0,0.13627612131707917,0.050207987944908154,0.22519663431081813,10
11355.0,0.27120238028934324,0.14885444790645866,0.48978899318976726,9
11356.0,0.3203725106232584,0.1160228541387225,0.49950862897379933,3
11357.0,0.1911651003063474,0.09913534378757488,0.31650048004196063,6
11358.0,0.17717233091790793,0.050164463614857505,0.30598974534942575,4
11360.0,0.0728595689326582,0.0728595689326582,0.0728595689326582,2
11361.0,0.175814692181462,0.05604151615860215,0.36606079823891713,8
11362.0,0.22303578920280764,0.06327215164231874,0.31525848370365844,3
11363.0,0.36088598096379854,0.19188899869162862,0.5298829632359684,2
11364.0,0.2961853581850701,0.06492121984266983,0.5730212259067898,8
11365.0,0.17151156705115217,0.04445233728731651,0.2983874843045562,8
11366.0,0.41253888459913457,0.39058456682160453,0.41985699052497794,4
11367.0,0.23976651832557755,0.14305109076492603,0.48346088434838846,9
11368.0,0.2313893807231806,0.006931866181866683,0.4545475629253572,15
11369.0,0.1443051238678781,0.04040475577744384,0.25637035525637103,6
11370.0,0.18139266037747692,0.09865337414240996,0.2641319466125439,2
11372.0,0.16238556083873024,0.059951173486491524,0.26911912333726257,9
11373.0,0.17553882395366585,0.03550892322505647,0.4016720150155928,16
11374.0,0.1917720240720194,0.05377255633716864,0.34506187019417905,6
11375.0,0.17742222089782939,0.05657014967295336,0.35545112856397665,10
11377.0,0.3041525826499024,0.1422434085992185,0.47684718408112853,11
11378.0,0.1599787331402778,0.06867037532452559,0.3000227463097336,5
11379.0,0.1574599205446767,0.08719675893235042,0.23816883636134228,4
11385.0,0.19735320252483707,0.05190840563221915,0.35229065423187683,16
11411.0,0.15568415001015357,0.08251802034365613,0.3393059006591664,6
11412.0,0.16652265445456435,0.020060251305976304,0.3282635314817484,9
11413.0,0.1926613284449301,0.058300195134570736,0.61384836477348,15
11414.0,0.1347553405588737,0.047888891331975776,0.26900703877847515,5
11415.0,0.1811948195572726,0.1811948195572726,0.1811948195572726,1
11416.0,0.280791779850197,0.05435154227252868,0.5434278778233422,4
11417.0,0.14034080431987814,0.0368710441084877,0.3700653556669091,7
11418.0,0.19260141586595117,0.0893335870270525,0.31453306919512275,9
11419.0,0.28114173067339515,0.08050718265878697,0.5038526736986042,4
11420.0,0.17152325349143477,0.04321020151634039,0.3669537213338987,10
11421.0,0.24830815115619434,0.13856082551097676,0.3806001436234025,3
11422.0,0.18564443534428432,0.02396786244808384,0.3684932293646533,5
11423.0,0.179749161816279,0.05829553196173431,0.3970739579967501,4
11426.0,0.2539372574133124,0.15144170284627073,0.3699598829291129,6
11427.0,0.1539648770565192,0.06737335057339237,0.379303438829485,4
11428.0,0.25379618311696667,0.051173524504184276,0.4788200831224716,3
11429.0,0.4403751060582295,0.4403751060582295,0.4403751060582295,1
11432.0,0.21058420810894699,0.0081786283381266,0.4418105570400774,18
11433.0,0.1565878565648459,0.09801736550167499,0.30281449958212375,9
11434.0,0.1817635382042836,0.010245773260937185,0.27913119900598304,15
11435.0,0.2041245366835326,0.06274550775284764,0.42652715427910065,9
11436.0,0.2588868752216542,0.08063531978916354,0.3793329048050907,5
11691.0,0.29708374470780446,0.04494406608153125,0.5961606381703767,16
11692.0,0.2043758452834103,0.11932538964812953,0.28942630091869104,2
11693.0,0.14558722066425483,0.11658801697974826,0.1745864243487614,2
11694.0,0.15012535213683809,0.03437829227818142,0.6614157971707918,9
