Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
I.S. 204 Oliver W. Holmes,40.756471,-73.932628,11106.0,Q108,0.26228999205172204,Accessible
P.S. 212,40.753035,-73.884458,11372.0,Q49,0.08645712181918046,Very accessible
P.S. Q222 - Fire Fighter Christopher A. Santora Sc,40.750442,-73.879991,11372.0,Q49,0.2405024357595251,Very accessible
I.S. 227 Louis Armstrong,40.757567,-73.874614,11369.0,Q72,0.05254109236792507,Very accessible
The Ivan Lafayette Early Childhood School of the A,40.756931,-73.874947,11369.0,Q66,0.04040475577744384,Very accessible
I.S. 230,40.752618,-73.892883,11372.0,Q66,0.26911912333726257,Accessible
P.S. 234,40.766898,-73.923044,11102.0,Q18,0.0670930773696568,Very accessible
Academy for New Americans,40.766898,-73.923044,11102.0,Q18,0.0670930773696568,Very accessible
Energy Tech High School,40.756471,-73.932628,11106.0,Q108,0.26228999205172204,Accessible
PS280Q: Home of the Lionhearts,40.753345,-73.874109,11372.0,Q66,0.2437563612899742,Very accessible
"Young Women's Leadership School, Astoria",40.770769,-73.92383,11102.0,Q19,0.12890718427217931,Very accessible
Hunters Point Community Middle School,40.742964,-73.959183,11101.0,Q103,0.2573415713414127,Accessible
The 30th Avenue School (G&T Citywide),40.768034,-73.922544,11102.0,Q18,0.06744527820385278,Very accessible
Academy for Careers in Television and Film,40.742964,-73.959183,11101.0,Q103,0.2573415713414127,Accessible
East Elmhurst Community School,40.761573,-73.872244,11369.0,Q72,0.17432616177670504,Very accessible
The Woodside Community School,40.747701,-73.90643,11377.0,LGAS,0.20769792775936377,Very accessible
Motion Picture Technical High School,40.749753,-73.915929,11104.0,Q34,0.3422455773898876,Accessible
Hunters Point Elementary School,40.738864,-73.960836,11101.0,B43,0.2895688155907061,Accessible
District 30 Pre-K Center,40.76836,-73.874094,11369.0,Q101,0.14648300691172098,Very accessible
The Hector Figueroa School,40.752773,-73.896705,11377.0,Q47,0.3961233045769432,Accessible
Gotham Tech High School,40.751838,-73.936592,11101.0,Q101,0.1399457544868688,Very accessible
I.S 429,40.749753,-73.915929,11104.0,Q34,0.3422455773898876,Accessible
William Cullen Bryant High School,40.757072,-73.911165,11377.0,Q34,0.2661374319839041,Accessible
Long Island City High School,40.765881,-73.933907,11106.0,Q104,0.20423186409973257,Very accessible
Frank Sinatra School of the Arts High School,40.756099,-73.925182,11106.0,Q101,0.3575010787795654,Accessible
Information Technology High School,40.748502,-73.946488,11101.0,Q69,0.04449190712104666,Very accessible
ATLAS,40.751838,-73.936592,11101.0,Q101,0.1399457544868688,Very accessible
Academy of American Studies,40.751839,-73.936596,11101.0,Q101,0.13990405591344213,Very accessible
Baccalaureate School for Global Education,40.754975,-73.926977,11106.0,Q101,0.3237116985909196,Accessible
Bushwick Leaders High School for Academic Excellen,40.699101,-73.902147,11385.0,Q58,0.16717531741019803,Very accessible
Pinceles magicos daycare,40.7596,-73.875668,11369.0,Q72,0.19570537111710262,Very accessible
P.S. Q004,40.7417,-73.778118,11365.0,Q88,0.1478652061939224,Very accessible
P.S. 009,40.718234,-73.912458,11378.0,Q59,0.3000227463097336,Accessible
P.S. Q023 @ Queens Children Center,40.739438,-73.92864,11101.0,Q39,0.20672250657794453,Very accessible
Robert E. Peary School,40.698699,-73.904888,11385.0,Q58,0.1507850303005599,Very accessible
P.S. Q177,40.7434,-73.787419,11365.0,Q17,0.20408082414544076,Very accessible
P.S. Q224,40.749556,-73.721594,11426.0,Q46,0.15144170284627073,Very accessible
P.S. Q233,40.708431,-73.855543,11375.0,Q23,0.11579486789220596,Very accessible
P.S. Q255,40.724195,-73.80938,11366.0,Q65,0.41985699052497794,Accessible
The Riverview School,40.73668,-73.921346,11377.0,Q39,0.2826374789984703,Accessible
Hospital Schools - Queens,40.753379,-73.708999,11004.0,Q46,0.16379651765121062,Very accessible
Home Instruction - Queen,40.683473,-73.800875,11436.0,Q9,0.3793329048050907,Accessible
John F. Kennedy Jr. School,40.735613,-73.867882,11373.0,Q43,0.09950487675346013,Very accessible
Queens Transition Center,40.683473,-73.800875,11436.0,Q9,0.3793329048050907,Accessible
P.S. Q811,40.756481,-73.728412,11362.0,Q36,0.31525848370365844,Accessible
Adult and Continuing Education,40.70283,-73.807991,11435.0,Q40,0.06274550775284764,Very accessible
East River Academy,40.7888,-73.8839,11370.0,Q101,0.09865337414240996,Very accessible
Pathways to Graduation,40.70283,-73.807991,11435.0,Q40,0.06274550775284764,Very accessible
