latitude,longitude,route_id,ZCTA5CE10
40.631852,-73.946005,BM2,11210
40.709278,-73.959521,B44,11211
40.586618,-73.966815,B4,11235
40.722442,-73.90188,Q58,11378
40.84843,-73.938117,BX13,10033
40.829097,-73.87457,BX27,10472
40.556646,-74.175851,SIM4C,10312
40.764779,-73.724236,QM3,11362
40.630541,-74.014598,B70,11220
40.729307,-73.781349,QM31,11366
40.760824,-73.943034,Q102,11106
40.742919,-73.775794,Q88,11365
40.784153,-73.845512,Q76,11356
40.752855,-73.791876,Q26,11358
40.8749,-73.909201,BX7,10463
40.856536,-73.869324,BX22,10462
40.616595,-74.103516,SIM30,10301
40.605326,-73.980974,B82,11223
40.700654,-73.807565,Q20A,11435
40.657574,-73.982948,B61,11215
40.742803,-73.825957,Q88,11355
40.802566,-73.964024,M11,10025
40.701424,-73.80803,Q9,11435
40.598827,-74.063766,SIM5,10305
40.665081,-73.735897,Q85,11422
40.933637,-73.897818,BXM2,10701
40.743457,-73.916896,Q104,11104
40.757451,-73.827565,Q17,11355
40.637203,-74.036023,B64,11209
40.876768,-73.906803,BXM2,10463
40.709555,-74.001873,QM25,10038
40.71645,-73.980468,M14D+,10002
40.615353,-73.913968,B3,11234
40.897981,-73.839679,BX16,10466
40.714123,-74.014863,SIM33,10280
40.791989,-73.850599,Q23,11356
40.837129,-73.888349,BX11,10460
40.771164,-73.865676,Q72,11371
40.63385,-74.129761,S46,10302
40.585067,-74.166625,S59,10314
40.652566,-73.765501,Q7,11430
40.78573,-73.948748,M103,10128
40.620617,-74.024044,B70,11209
40.680644,-73.955715,B49,11238
40.747048,-73.71228,QM2,11004
40.651269,-73.94662,B44,11203
40.786781,-73.822241,Q44+,11357
40.753664,-73.757089,Q4,11364
40.67515,-73.807355,Q9,11420
40.753271,-73.792864,Q26,11358
40.888497,-73.859879,BX8,10466
40.729176,-73.78161,QM7,11366
40.672912,-73.764133,Q3,11434
40.741916,-73.987149,BXM9,10010
40.76053,-73.968299,QM5,10022
40.631682,-73.947638,B44,11210
40.701262,-73.905004,B38,11385
40.853696,-73.907371,BX32,10453
40.704385,-73.919467,B13,11237
40.673854,-73.788567,Q6,11434
40.702045,-74.01358,M15+,10004
40.715615,-73.832415,X64,11375
40.73654,-73.713671,Q36,11004
40.699973,-73.830786,QM18,11418
40.878665,-73.897767,BX1,10463
40.6132,-74.122715,S54,10314
40.785712,-73.795179,Q16,11357
40.68626,-73.823975,Q112,11419
40.766518,-73.982248,M31,10019
40.639883,-73.967187,B103,11218
40.702168,-73.800813,Q85,11433
40.747048,-73.71228,QM8,11004
40.662457,-73.84097,Q41,11414
40.619865,-73.917245,BM1,11234
40.888887,-73.836864,BX16,10466
40.702584,-73.81414,Q24,11435
40.645725,-73.892783,BM2,11236
40.686724,-73.975391,B52,11217
40.668537,-73.931235,B14,11213
40.840581,-73.938431,M2,10032
40.714121,-73.830107,Q60,11424
40.837395,-73.926757,BX13,10452
40.862431,-73.895859,BX34,10458
40.627592,-74.166418,S98,10303
40.803886,-73.937851,M103,10035
40.690609,-73.987879,B57,11201
40.579938,-73.836457,QM16,11694
40.78078,-73.961086,BXM7,
40.71502,-74.007812,BXM18,10007
40.862431,-73.895859,BX22,10458
40.60889,-74.09078,S76,10304
40.638125,-74.024872,X27,11220
40.812179,-73.903625,BX19,10455
40.838042,-73.90119,BX15,10457
40.859394,-73.931555,M191,10040
40.736292,-73.714076,Q36,11426
40.762931,-73.956627,M31,10065
40.759213,-73.919292,Q104,11103
40.652712,-73.87623,Q8,11239
40.760578,-73.821127,Q15,11355
40.773561,-73.845946,Q65,11354
40.563968,-74.155575,S54,10308
40.826647,-73.955503,BX19,10031
40.772835,-73.981874,M66,10023
40.704442,-73.792612,Q56,11433
40.684422,-73.978557,B63,11217
40.70257,-73.799693,Q4,11433
40.851594,-73.898635,BX42,10457
40.650187,-73.891399,B103,11236
40.691988,-73.762313,Q3,11412
40.746819,-73.891252,Q32,11372
40.774385,-73.826401,QM20,11354
40.835389,-73.895119,BX11,10460
40.755066,-73.706419,Q46,11004
40.700421,-73.909993,B52,11385
40.812435,-73.905124,BX19,10455
40.756495,-73.955868,LGAS,10044
40.745998,-73.978634,BM5,10016
40.701298,-73.802996,Q85,11435
40.612471,-74.129835,SIM3,10314
40.81021,-73.952924,M100,10027
40.862237,-73.895647,BX12,10458
40.62521,-74.039086,B16,11209
40.649569,-73.834387,Q41,11414
40.848866,-73.936758,BX36,10033
40.836311,-73.948435,BX6,10032
40.680417,-73.842272,Q112,11417
40.645297,-74.010014,B63,11220
40.73742,-73.996705,SIM1C,10011
40.701688,-73.961608,B62,11211
40.661517,-73.824094,Q3,11430
40.750554,-73.991077,M20,10001
40.871659,-73.887532,BX25,10458
40.575822,-74.120091,S84,10306
40.701836,-73.808716,Q56,11435
40.664347,-73.768276,Q111,11434
40.702782,-73.798612,Q112,11433
40.880047,-73.906872,BX10,10463
40.704933,-73.793318,Q44+,11433
40.90041,-73.840943,BX39,10466
40.875965,-73.829432,BX25,10475
40.638191,-73.978944,B69,11218
40.760728,-73.830616,Q20A,11354
40.825623,-73.947214,M100,10031
40.825367,-73.891278,BX4A,10459
40.739218,-73.982771,M101,10010
40.741326,-73.987575,ECAS,10010
40.739066,-73.785434,QM1,11365
40.760255,-73.830801,Q65,11354
40.701688,-73.961608,B62,11211
40.702217,-73.800606,Q85,11433
40.607219,-74.162922,S92,10314
40.791429,-73.781062,Q16,11359
40.861596,-73.891066,BX12,10458
40.767745,-73.964259,M98,10065
40.640108,-74.165755,SIM3C,10303
40.737775,-73.79485,Q17,11365
40.750627,-73.99102,BXM4,10001
40.703193,-73.795858,Q114,11433
40.748139,-73.976244,QM34,10016
40.533924,-74.154134,S54,10312
40.736364,-73.772367,Q88,11364
40.810745,-73.92681,BX33,10454
40.760104,-73.831267,Q23,11354
40.806829,-73.917302,BX33,10454
40.622647,-74.028537,S53,11209
40.713965,-73.831373,Q9,11415
40.548875,-74.220854,S55,10309
40.701127,-73.795451,Q98V,11451
40.711655,-73.943117,Q59,11211
40.768902,-73.773653,Q13,11361
40.747321,-73.711919,QM8,11004
40.728395,-73.783325,QM6,11366
40.761214,-73.963645,Q39,10022
40.732959,-73.864021,Q59,11374
40.700635,-73.79605,Q98V,11451
40.76467,-73.824161,QM3,11354
40.66642,-73.883387,B6,11207
40.877829,-73.866304,BXM11,10467
40.830358,-73.885702,BX35,10459
40.889717,-73.909022,BXM1,10471
40.816872,-73.917513,BX41+,10451
40.761573,-73.975039,M5,10019
40.650381,-73.891446,BM3,11236
40.838598,-73.860694,BXM9,10462
40.736514,-73.865856,QM10,11373
40.78708,-73.954126,M3,10128
40.695535,-73.990829,B41,11201
40.70237,-73.875134,QM34,11385
40.750829,-73.85866,Q48,11368
40.640318,-74.130766,S40,10302
40.629866,-73.904758,BM2,11236
40.591421,-74.132451,S57,10314
40.712541,-73.784401,Q2,11432
40.760109,-73.827766,Q12,11354
40.728117,-73.873143,QM24,11374
40.7384,-73.999883,M20,10011
40.655362,-73.981947,B69,11215
40.785524,-73.931402,M35,10035
40.686471,-73.824164,Q10,11419
40.607025,-74.162535,S94,10314
40.575456,-73.994904,B74,11224
40.842728,-73.885882,BX40,10460
40.831124,-73.920651,BX2,10452
40.720728,-73.760265,Q1,11423
40.782275,-73.777006,Q16,11360
40.67665,-73.830806,Q37,11420
40.761777,-73.971002,X64,10022
40.876031,-73.829278,BX38,10475
40.611007,-73.920407,B47,11234
40.578247,-74.167369,S61,10314
40.843057,-73.885462,BX19,10460
40.757918,-73.954752,Q94,10044
40.846943,-73.92019,BX3,10453
40.876197,-73.82947,BX23,10475
40.585597,-73.817346,QM16,11693
40.763763,-73.892877,Q47,11370
40.902431,-73.868289,BX31,10470
40.757575,-73.990464,SIM22,10036
40.759026,-73.968297,QM32,10022
40.766314,-73.977491,SIM34,
40.709333,-73.96039,Q59,11211
40.842276,-73.855558,BX40,10462
40.834671,-73.826413,BX8,10461
40.717653,-73.81679,QM1,11435
40.85622,-73.933026,M191,10040
40.650756,-73.83869,Q21,11414
40.839877,-73.837227,BX40,10461
40.649807,-73.916502,B17,11236
40.68626,-73.823975,Q112,11419
40.611366,-74.117159,SIM32,10314
40.708907,-74.002294,SIM5,10038
40.637483,-73.740657,Q113,11422
40.567396,-73.882737,Q41,11697
40.889606,-73.90901,BXM2,10471
40.787906,-73.947273,M101,10029
40.660569,-73.962707,B48,11225
40.527172,-74.191586,S78,10312
40.699747,-73.941465,B15,11206
40.785723,-73.856248,Q34,11356
40.875936,-73.829479,BX28,10475
40.640247,-74.130937,S59,10302
40.66642,-73.883387,M99,11207
40.56649,-73.871482,QM16,11697
40.736676,-73.856753,Q38,11368
40.753191,-73.981154,M1,10036
40.691839,-73.778775,Q4,11434
40.6427,-74.210164,SIM26,07202
40.699912,-73.987652,B63,11201
40.700463,-73.807915,Q46,11435
40.667666,-73.808725,Q6,11420
40.746194,-73.978967,QM16,10016
40.698362,-73.786612,Q5,11433
40.762343,-73.972454,M57,10022
40.743131,-73.954018,Q93,11101
40.762465,-73.803514,Q28,11358
40.715016,-73.773734,Q36,11423
40.676043,-73.819312,Q7,11420
40.876836,-73.88971,BX10,10468
40.652986,-73.794665,Q9,11430
40.775144,-73.93493,Q103,11102
40.759821,-73.828956,Q15A,11354
40.745704,-73.901994,Q70+,11377
40.692404,-73.745214,Q27,11411
40.868136,-73.919522,BX7,10034
40.732469,-73.811062,Q64,11367
40.598764,-73.951363,BM3,11229
40.575645,-74.16715,S61,10314
40.619195,-73.933306,B41,11234
40.864102,-73.908907,BX12,10468
40.600206,-73.82068,Q52+,11693
40.779238,-73.953585,BXM6,10128
40.67997,-73.949642,B44,11216
40.721267,-73.903751,B57,11378
40.638191,-73.978944,B67,11218
40.626665,-74.015037,B64,11228
40.67939,-73.773108,QM21,11434
40.693649,-73.851946,Q11,11421
40.650084,-73.891434,B60,11236
40.809908,-73.950705,M125,10027
40.618936,-74.185156,S90,10314
40.716991,-74.006211,SIM2,10007
40.801047,-73.959575,M4,10026
40.862625,-73.904958,BX3,10468
40.84754,-73.900495,BX42,10457
40.74664,-73.891184,Q47,11372
40.700514,-73.807829,Q30,11435
40.804229,-73.955203,M116,10026
40.75991,-73.966804,BM4,10022
40.621924,-74.028495,B1,11209
40.643355,-74.073,S59,10301
40.652566,-73.765501,Q40,11430
40.692404,-73.745214,Q1,11411
40.729614,-73.745329,Q43,11427
40.793838,-73.797422,QM32,11357
40.599189,-74.063759,S51,10305
40.670198,-73.922535,B65,11233
40.786504,-73.8223,Q44+,11357
40.662572,-73.840982,QM15,11414
40.598662,-74.081064,S78,10305
40.833287,-73.828591,BX5,10465
40.643445,-74.07392,S90,10301
40.700523,-73.807598,Q60,11435
40.683971,-73.846873,Q8,11416
40.625066,-73.9651,B68,11230
40.877199,-73.906891,BXM1,10463
40.838512,-73.913583,BX18,10456
40.711897,-74.006185,BM4,10038
40.733179,-73.871298,Q7,11373
40.802722,-73.963511,M11,10025
40.603301,-73.753827,QM15,11691
40.868117,-73.833907,BX38,10469
40.7287,-74.00254,SIM32,10012
40.759215,-73.968185,QM4,10022
40.816986,-73.947789,BX33,10030
40.738801,-73.792812,Q31,11365
40.712625,-73.992622,M15,10002
40.645456,-73.901761,B82,11236
40.58372,-74.161424,S44,10314
40.805695,-73.848834,BX27,10473
40.60427,-73.752724,Q114,11691
40.598193,-73.961045,B68,11223
40.71208,-73.859508,QM12,11374
40.856843,-73.867681,BX39,10462
40.74887,-73.86931,Q72,11373
40.693869,-73.990409,B52,11201
40.733152,-73.871078,Q53+,11373
40.78573,-73.948748,M101,10128
40.766314,-73.977491,SIM3C,
40.604596,-74.069364,SIM35,10305
40.66411,-73.768713,Q111,11434
40.679184,-73.929053,B46,11233
40.528346,-74.230218,S78,10309
40.633953,-73.947823,B6,11210
40.779558,-73.953335,BXM6,10128
40.753218,-73.91125,Q34,11101
40.674788,-73.807221,Q7,11420
40.578107,-73.940647,B49,11235
40.690793,-73.924309,B47,11221
40.824975,-73.891477,BX4A,10459
40.630411,-74.089397,SIM30,10301
40.640133,-74.166126,SIM33,10303
40.691764,-73.762858,Q4,11412
40.675964,-73.953259,B49,11216
40.78573,-73.948748,BXM1,10128
40.753106,-73.995857,SIM23,10001
40.83827,-73.901294,BX11,10457
40.877829,-73.866304,BX41,10467
40.526681,-74.178254,S59,10312
40.683763,-73.77001,Q85,11434
40.680279,-73.761324,Q3,11434
40.852023,-73.884493,BX17,10458
40.62357,-73.955771,BM1,11230
40.671946,-73.9905,B37,11215
40.583619,-73.950517,B49,11235
40.573779,-74.002511,B36,11224
40.695259,-73.969185,B69,11205
40.750627,-73.99102,BXM11,10001
40.733152,-73.871078,Q38,11373
40.5983,-73.960394,B3,11223
40.585035,-73.931329,B44,11235
40.674933,-73.997631,B61,11231
40.630279,-74.088817,S61,10301
40.680182,-73.752725,Q5,11413
40.711314,-73.948841,B48,11211
40.643587,-74.073468,S44,10301
40.58335,-73.986611,X28,11214
40.686132,-73.824986,Q112,11419
40.607025,-74.162535,S44,10314
40.700514,-73.807829,Q30,11435
40.728395,-73.783325,QM6,11366
40.712226,-73.88867,Q38,11379
40.810559,-73.950766,M10,10027
40.699697,-73.910768,B38,11385
40.757191,-73.989904,SIM22,10036
40.643571,-74.073149,S98,10301
40.63816,-73.978939,B67,11218
40.687713,-73.784932,Q111,11434
40.643241,-74.07327,S66,10301
40.861338,-73.82271,BX30,10475
40.688753,-73.785751,Q113,11434
40.638191,-73.978944,B43,11218
40.612624,-74.130404,S62,10314
40.896729,-73.87034,BX34,10470
40.758257,-73.89448,Q47,11370
40.668552,-73.931509,B14,11213
40.717653,-73.81679,QM35,11435
40.713986,-74.006488,SIM33C,10007
40.831809,-73.909943,BX35,10456
40.819614,-73.954283,M11,10031
40.733179,-73.871298,Q11,11373
40.806642,-73.917271,BX33,10454
40.67967,-73.837674,Q7,11417
40.826617,-73.922643,BXM4,10451
40.833603,-73.861155,BX11,10472
40.770085,-73.918304,Q19,11102
40.713863,-73.914957,B57,11378
40.858006,-73.925105,M101,10033
40.646768,-73.970833,B68,11218
40.78688,-73.821902,Q76,11357
40.574976,-73.974593,B36,11224
40.861114,-73.822549,BX30,10475
40.704863,-73.809039,Q9,11435
40.599713,-73.951339,B49,11229
40.866887,-73.883398,BX26,10458
40.744051,-73.775939,Q76,11364
40.595383,-73.754744,Q114,11691
40.674668,-73.896556,B83,11207
40.584577,-74.166981,S59,10314
40.556666,-74.203716,SIM25,10312
40.852782,-73.826887,Q50,10461
40.877103,-73.907057,BXM1,10463
40.759215,-73.968185,QM5,10022
40.685678,-73.915671,B26,11233
40.609304,-74.116692,SIM33,10314
40.78041,-73.802414,QM20,11357
40.701922,-73.80804,Q40,11435
40.708907,-74.002294,SIM6,10038
40.877512,-73.866027,BX39,10467
40.565114,-74.114835,SIM11,10306
40.829276,-73.897739,BX17,10459
40.814859,-73.95525,M11,10027
40.604596,-74.069364,SIM33C,10305
40.877136,-73.865806,BX28,10467
40.771582,-73.833747,QM2,11354
40.594243,-73.940584,B44,11229
40.663474,-73.951015,B44,11225
40.838598,-73.860694,BXM6,10462
40.740149,-73.986247,X37,10010
40.753664,-73.757089,Q42,11364
40.73742,-73.996705,SIM15,10011
40.643333,-74.073052,S92,10301
40.813496,-73.929489,BX1,10451
40.751887,-73.931634,Q101,11101
