ZCTA20	ZCTA_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
01367	24.571838379	519	0	0	0
01368	44.321868897	1451	0	0	0
01370	48.186843872	3727	0	0	0
01373	23.064638138	4866	5	1.0275380611	.2167820632
01375	14.079977036	3643	14	3.8429865837	.9943197966
01376	4.078781605	4630	0	0	0
01378	37.348865509	738	0	0	0
01379	21.578508377	835	0	0	0
01380	 	 	0	 	 
01420	30.058153152	40576	4	.0985804424	.1330753714
01430	36.740936279	6320	0	0	0
01431	23.664047241	3211	0	0	0
01432	8.519643784	7760	4	.5154638886	.4695031941
01434	6.511752129	2007	0	0	0
01436	8.992527008	3538	0	0	0
01438	.324713469	512	0	0	0
01440	24.507707596	20605	0	0	0
01450	32.769016266	11322	0	0	0
01451	21.046794891	4576	0	0	0
01452	41.054584503	4758	0	0	0
01453	26.358898163	41654	4	.0960291922	.1517514139
01460	16.515562058	10152	6	.591016531	.3632937074
01462	26.618337631	11530	0	0	0
01463	22.577964783	12113	0	0	0
01464	15.128566742	7616	4	.5252100825	.2644004524
01468	21.959400177	4065	0	0	0
01469	21.615116119	7812	0	0	0
01473	35.439800262	7874	0	0	0
01474	11.089736938	1685	0	0	0
01475	42.770656586	10831	0	0	0
01501	15.255633354	16627	0	0	0
01503	12.972624779	3312	0	0	0
01504	11.11138916	9249	0	0	0
01505	16.057258606	4666	0	0	0
01506	15.527100563	3439	2	.5815644264	.128807053
01507	42.178886414	13610	0	0	0
01510	5.652750969	13940	0	0	0
01515	9.863842964	2157	2	.9272137284	.2027607262
01516	36.651874542	9168	0	0	0
01518	12.238985062	3606	0	0	0
01519	10.679613113	7566	0	0	0
01520	18.824743271	16059	0	0	0
01521	12.282129288	2492	0	0	0
01522	15.684699059	3069	0	0	0
01523	27.431224823	7809	0	0	0
01524	15.898275375	6778	2	.2950722873	.1257998049
01525	.012737896	309	0	0	0
01527	15.579525948	13822	0	0	0
01529	4.861876965	3249	0	0	0
01531	20.762132645	1155	0	0	0
01532	18.476240158	15047	0	0	0
01534	9.514024735	5885	0	0	0
01535	21.268796921	4774	0	0	0
01536	8.561545372	7030	4	.5689900517	.4672053754
01537	6.810220718	2244	0	0	0
01540	19.103157043	11679	0	0	0
01541	35.431697845	3466	0	0	0
01542	4.213021755	2544	0	0	0
01543	35.12544632	8799	0	0	0
01545	20.752685547	37683	0	0	0
01550	20.238279343	16865	0	0	0
01560	3.561954975	4467	0	0	0
01561	.03767585	102	0	0	0
01562	32.851230621	11942	2	.1674761325	.0608805194
01564	30.615976334	8130	0	0	0
01566	24.991615295	5953	0	0	0
01568	21.216464996	7968	0	0	0
01569	29.38187027	13901	0	0	0
01570	12.357240677	16934	0	0	0
01571	20.832368851	11699	0	0	0
01581	20.605949402	19035	4	.210139215	.1941186935
01583	12.57641983	7752	0	0	0
01585	28.075138092	4601	2	.4346881211	.0712374076
01588	8.093803406	10439	0	0	0
01590	32.473167419	9458	0	0	0
01602	5.828866005	24363	0	0	0
01603	4.529853821	18612	0	0	0
01604	6.633554459	37633	3	.079717271	.4522462189
01605	5.6540308	27587	0	0	0
01606	5.988436222	20060	0	0	0
01607	3.026376009	8410	0	0	0
01608	.481511474	4910	0	0	0
01609	3.733875751	21780	0	0	0
01610	2.13241291	22152	0	0	0
01611	3.41723299	2036	0	0	0
01612	15.262328148	4961	0	0	0
01701	16.888734818	33742	17	.5038231015	1.0065881014
01702	8.210965157	39163	39	.9958379269	4.7497463226
01718	.137848511	709	0	0	0
01719	10.284743309	5677	0	0	0
01720	19.622053146	22914	4	.1745657623	.2038522661
01721	12.337676048	17787	10	.5622083545	.8105254173
01730	12.444221497	14072	54	3.837407589	4.339363575
01731	2.337107658	2119	1	.4719207287	.4278793037
01740	19.946014404	5356	0	0	0
01741	15.274394989	5232	0	0	0
01742	24.124750137	18927	8	.4226765931	.3316096663
01745	.389907181	600	2	3.3333332539	5.1294260025
01746	18.653629303	14792	3	.2028123289	.1608266085
01747	5.175191402	5956	0	0	0
01748	26.225214005	18030	4	.2218524665	.1525249779
01749	11.527211189	19863	9	.4531037509	.7807612419
01752	20.859888077	39663	17	.4286110401	.8149612546
01754	5.196926117	10900	0	0	0
01756	17.77230072	6146	0	0	0
01757	15.134371758	28936	18	.6220625043	1.1893457174
01760	14.780812263	35770	28	.7827788591	1.8943479061
01770	15.787982941	4324	0	0	0
01772	13.614473343	9551	7	.7329075336	.5141587257
01773	13.862762451	4847	7	1.4441922903	.5049498677
01775	17.335206985	7159	0	0	0
01776	24.407907486	19248	0	0	0
01778	15.031323433	14038	0	0	0
01801	12.704874992	40297	121	3.0027048588	9.5239028931
01803	11.271328926	28077	72	2.5643765926	6.3878893852
01810	30.521421433	36098	98	2.7148318291	3.2108595371
01821	16.592302322	32936	47	1.4270099401	2.8326387405
01824	18.062246323	25762	107	4.1534042358	5.9239587784
01826	20.784376144	31389	61	1.9433559179	2.934896946
01827	16.456346512	3374	0	0	0
01830	13.868275642	26225	135	5.1477599144	9.7344474793
01832	11.356760979	23736	84	3.5389282703	7.3964753151
01833	12.824338913	8733	0	0	0
01834	8.88006115	6815	1	.1467351466	.1126118377
01835	7.811269283	13822	30	2.1704528332	3.8406050205
01840	.510489225	5416	57	10.5243721008	111.6576004029
01841	3.043464661	49437	92	1.8609544039	30.2287063599
01843	3.374347925	25170	114	4.5292015076	33.7843055725
01844	22.098815918	50517	92	1.821169138	4.1631188393
01845	26.409322739	31262	39	1.2475209236	1.4767512083
01850	1.360893488	15950	53	3.3228840828	38.9450035095
01851	3.228699446	31558	113	3.5807085037	34.9986114502
01852	4.972808838	35033	195	5.5661802292	39.2132492066
01854	3.960317373	28770	67	2.328814745	16.9178352356
01860	8.498768806	6926	18	2.5989027023	2.1179537773
01862	9.105718613	10519	43	4.0878410339	4.7223072052
01863	4.455220699	9477	28	2.9545214176	6.2847614288
01864	13.156798363	15672	0	0	0
01867	9.964801788	25236	12	.4755111635	1.2042386532
01876	20.831308365	30973	71	2.2923190594	3.4083313942
01879	16.761386871	12511	18	1.4387339354	1.0738967657
01880	7.385305882	26704	48	1.7974835634	6.4993925095
01886	30.241100311	24566	30	1.2211999893	.9920274019
01887	16.973451614	23390	21	.8978195786	1.2372262478
01890	6.031693935	22760	49	2.1528997421	8.1237545013
01901	.271253765	2370	19	8.0168771744	70.0451126099
01902	2.369786978	49472	111	2.2436933517	46.8396530152
01904	4.245861053	17928	108	6.024096489	25.436536789
01905	3.050075054	24369	106	4.3497886658	34.7532424927
01906	11.578195572	28334	133	4.6940073967	11.4871091843
01907	3.02292037	15468	91	5.8831133842	30.103340149
01908	1.07579875	3512	33	9.396355629	30.6748828888
01913	12.292108536	17474	38	2.1746594906	3.0914142132
01915	14.208796501	42062	87	2.068375349	6.12296772
01921	23.594554901	8316	0	0	0
01922	9.066366196	3758	0	0	0
01923	13.205212593	27367	13	.4750246704	.9844597578
01929	13.937296867	3771	0	0	0
01930	26.197814941	30291	6	.1980786324	.2290267348
01937	.073055163	182	0	0	0
01938	32.104747772	14022	2	.142633006	.0622960813
01940	10.077187538	13429	1	.0744657069	.0992340371
01944	9.229516983	5400	4	.7407407165	.4333921373
01945	4.429915428	20530	51	2.4841694832	11.512635231
01949	13.447140694	9952	0	0	0
01950	8.350214005	18197	41	2.2531187534	4.91005373
01951	14.30609417	3348	0	0	0
01952	15.373455048	9477	27	2.8490028381	1.7562739849
01960	16.01534462	52880	59	1.1157337427	3.6839668751
01965	 	 	4	 	 
01966	6.987690926	7269	2	.2751410007	.2862175703
01969	18.200704575	6375	2	.3137255013	.1098858565
01970	8.242460251	43120	117	2.7133581638	14.1947908402
01982	14.201622963	8048	0	0	0
01983	11.898539543	6613	0	0	0
01984	7.658798695	5208	2	.3840245903	.2611375451
01985	13.447240829	4688	0	0	0
02019	18.343015671	17196	12	.6978366971	.6541999578
02021	18.746185303	23615	29	1.2280330658	1.5469814539
02025	9.774344444	8520	2	.2347417772	.2046173066
02026	10.270470619	25316	41	1.6195291281	3.9920272827
02030	15.095993996	6079	0	0	0
02032	2.338237047	4360	18	4.1284403801	7.6981072426
02035	19.855764389	17917	6	.334877491	.3021792471
02038	26.639001846	33644	19	.5647366643	.7132399082
02043	22.179628372	23983	55	2.2932910919	2.4797530174
02045	2.673644781	10478	34	3.2448940277	12.7167234421
02047	.576762497	156	0	0	0
02048	20.103998184	24145	6	.2484986484	.2984480858
02050	28.760349274	26109	11	.4213106632	.382471025
02052	14.409282684	12926	0	0	0
02053	11.536697388	13398	4	.2985520363	.3467196822
02054	12.032769203	8288	0	0	0
02056	14.897711754	11861	6	.5058595538	.4027464092
02061	20.931461334	11120	0	0	0
02062	10.549164772	29446	56	1.9017863274	5.3084769249
02066	16.496839523	18511	16	.864350915	.9698827267
02067	22.685270309	18653	4	.214442715	.1763258725
02071	.961901307	1230	0	0	0
02072	16.086046219	28742	2	.0695845783	.1243313625
02081	17.726055145	19850	16	.8060453534	.9026260972
02090	10.889772415	16229	18	1.1091256142	1.6529271603
02093	21.706417084	11930	4	.3352891803	.1842772961
02108	.273870379	4520	15	3.3185839653	54.7704353333
02109	.169576451	3639	11	3.0228085518	64.8675003052
02110	.178883836	2340	14	5.9829058647	78.2630767823
02111	.196005926	7949	12	1.5096238852	61.2226371766
02113	.097322844	7339	0	0	0
02114	.443411678	13260	14	1.0558069944	31.5733680725
02115	.710700572	29134	44	1.5102629662	61.9107437134
02116	.649396777	23007	31	1.3474160433	47.7366104126
02118	1.087679863	28892	73	2.5266509056	67.1153335572
02119	1.615176558	27426	107	3.9014074802	66.2466278077
02120	.619018257	15210	25	1.6436555386	40.3865318299
02121	1.885660052	29570	93	3.1450793743	49.3195991516
02122	1.697368383	24874	81	3.2564122677	47.7209320069
02124	2.967804432	57128	131	2.2930963039	44.14037323
02125	2.16792202	34725	87	2.5053994656	40.1305961609
02126	1.828321099	29807	69	2.3148925304	37.7395401001
02127	2.057686329	36941	121	3.2754933834	58.8039093018
02128	5.024732113	47804	93	1.9454438686	18.5084495545
02129	1.353655219	20504	61	2.9750292301	45.0631752014
02130	3.540374994	42021	93	2.2131791115	26.268404007
02131	2.78764987	34048	117	3.4363250732	41.9708366394
02132	4.863968849	28263	187	6.6164240837	38.445968628
02133	 	 	0	 	 
02134	1.234329224	19552	50	2.5572831631	40.5078315735
02135	2.59971571	45496	93	2.0441358089	35.7731437683
02136	4.598405361	36417	182	4.9976658821	39.5789375305
02138	2.738261938	39139	102	2.6060962677	37.2499046326
02139	1.551821351	39702	81	2.0401995182	52.1967315674
02140	1.158377886	20954	45	2.1475613117	38.8474273682
02141	.608769596	14437	17	1.1775299311	27.9251785279
02142	.313703358	4074	4	.9818360209	12.7508993149
02143	1.544570446	25102	98	3.904071331	63.4480628968
02144	1.091883421	25009	50	1.9992802143	45.7924346924
02145	1.390690923	28372	77	2.713943243	55.3681602479
02148	5.04598093	60710	249	4.1014661789	49.3462028504
02149	3.419074774	46275	107	2.3122637272	31.2950153351
02150	2.214202166	39862	97	2.4333951473	43.8081054688
02151	5.705313683	53416	162	3.0327992439	28.3945827484
02152	1.657250881	18558	73	3.9336135387	44.0488510132
02155	8.18989563	60533	217	3.5848214626	26.4960632324
02163	.183464542	2343	2	.8536064625	10.9012889862
02169	12.095403671	56999	305	5.3509712219	25.2161903381
02170	2.084944248	19163	78	4.0703439713	37.4110717774
02171	2.452656031	18227	66	3.6210017204	26.9096031189
02176	4.683236599	28054	127	4.5269837379	27.1179981232
02180	5.978012562	23625	24	1.0158730745	4.0147123337
02184	13.763017654	37196	158	4.2477684021	11.4800405502
02186	13.696020126	27590	144	5.2192821503	10.5140028
02188	3.861803532	16114	39	2.420255661	10.0989084244
02189	4.00994873	15337	54	3.52089715	13.4665060043
02190	6.995854378	17466	13	.7443032265	1.8582433462
02191	1.793259144	8296	44	5.3037610054	24.5363311768
02199	.057267059	1435	5	3.4843206406	87.3102264405
02203	.009651395	24	1	41.6666679383	103.6119613648
02205	 	 	1	 	 
02210	.92272085	4538	27	5.949757576	29.2612876892
02215	.884298682	26243	59	2.2482185364	66.7195358277
02301	12.446821213	63920	7	.1095118895	.5623925924
02302	8.881640434	31820	5	.1571338773	.562959075
02322	4.291458607	4513	6	1.329492569	1.3981260061
02324	26.983181	27441	0	0	0
02325	 	 	2	 	 
02330	37.30595398	11745	1	.0851426125	.0268053729
02332	23.701084137	15912	6	.3770739138	.2531529665
02333	17.193475723	14509	0	0	0
02338	15.973950386	7830	4	.5108556747	.2504076958
02339	15.537530899	14526	0	0	0
02341	14.905250549	10874	3	.2758874297	.2012713552
02343	7.01046896	11051	53	4.7959461212	7.5601220131
02346	69.042694092	25139	13	.5171247721	.1882892996
02347	29.596981049	11531	3	.2601682544	.101361692
02350	 	 	0	 	 
02351	9.963900566	16557	2	.1207948327	.2007246017
02356	13.606904984	12474	0	0	0
02357	.388231128	1050	0	0	0
02359	21.788389206	18455	6	.3251151443	.2753760219
02360	96.383209229	60797	32	.5263417363	.332008034
02364	18.64414978	13746	10	.7274843454	.5363612771
02366	.044773951	194	0	0	0
02367	14.680872917	2979	0	0	0
02368	9.323354721	34214	117	3.4196527004	12.5491313934
02370	10.028793335	18010	0	0	0
02375	13.781598091	11336	2	.176429078	.1451210529
02379	15.323225975	7254	0	0	0
02382	6.936041832	15139	2	.1321091205	.2883488834
